Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
25-10-2018,103.72,106.37,103.33,105.42,61646800,0,0
26-10-2018,102.88,105.86,101.98,104.12,55523100,0,0
29-10-2018,105.24,105.81,98.93,101.09,55162000,0,0
30-10-2018,100.91,101.61,97.45,100.98,65350900,0,0
31-10-2018,102.64,105.27,102.59,103.97,51062400,0,0
01-11-2018,104.21,104.47,102.73,103.11,33384200,0,0
02-11-2018,103.65,104.47,102.19,103.34,37680200,0,0
05-11-2018,103.55,104.88,103.09,104.66,27922100,0,0
06-11-2018,104.53,105.95,103.46,104.86,24340200,0,0
07-11-2018,106.53,109.26,106.5,108.99,37901700,0,0
08-11-2018,108.83,109.23,107.97,108.78,25644100,0,0
09-11-2018,107.91,108.49,105.87,106.66,32039200,0,0
12-11-2018,106.51,107.04,103.28,104.03,33621800,0,0
13-11-2018,104.69,105.85,103.81,104.1,35374600,0,0
14-11-2018,105.68,105.84,102.14,102.62,39495100,0.46,0
15-11-2018,102.64,105.39,101.59,104.88,38505200,0,0
16-11-2018,104.69,106.45,104.41,105.87,33502100,0,0
19-11-2018,105.85,106.13,101.24,102.28,44773900,0,0
20-11-2018,99.53,100.67,97.13,99.44,64052500,0,0
21-11-2018,101.28,102.1,99.96,100.81,28130600,0,0
23-11-2018,99.89,101.49,99.72,100.77,13823100,0,0
26-11-2018,102.45,104.25,102.24,104.09,32336200,0,0
27-11-2018,103.9,104.93,103.01,104.75,29124500,0,0
28-11-2018,105.48,108.84,105.45,108.64,46788500,0,0
29-11-2018,107.86,108.64,106.59,107.73,28123200,0,0
30-11-2018,108.23,108.49,106.92,108.41,33665600,0,0
03-12-2018,110.47,110.89,108.26,109.59,34732800,0,0
04-12-2018,109.44,110.12,105.79,106.09,45197000,0,0
06-12-2018,103.46,106.8,102.65,106.75,49107400,0,0
07-12-2018,105.96,107,101.97,102.48,45044900,0,0
10-12-2018,102.46,105.57,101.57,105.19,40801500,0,0
11-12-2018,107.35,108.47,105.04,106.16,42381900,0,0
12-12-2018,108.41,108.78,106.6,106.64,36183000,0,0
13-12-2018,107.13,108.39,106.2,107,31333400,0,0
14-12-2018,105.83,106.82,103.14,103.66,47043100,0,0
17-12-2018,103.05,103.44,99.44,100.59,56957300,0,0
18-12-2018,101.43,102.17,100.23,101.65,49319200,0,0
19-12-2018,101.33,104.49,99.09,101.37,68198200,0,0
20-12-2018,100.75,101.98,96.57,99.24,70334200,0,0
21-12-2018,99.36,100.7,95.28,96.03,111242100,0,0
24-12-2018,95.5,95.78,91.88,92.03,43935200,0,0
26-12-2018,93.01,98.44,91.86,98.31,51634800,0,0
27-12-2018,97.08,98.93,94.25,98.92,49498500,0,0
28-12-2018,99.81,100.12,97.3,98.15,38196300,0,0
31-12-2018,99.03,100.11,98.2,99.3,33173800,0,0
02-01-2019,97.33,99.48,96.73,98.86,35329300,0,0
03-01-2019,97.86,97.95,95.03,95.22,42579100,0,0
04-01-2019,97.49,100.22,96.72,99.65,44060600,0,0
07-01-2019,99.37,100.96,98.72,99.78,35656100,0,0
08-01-2019,100.74,101.65,99.44,100.5,31514400,0,0
09-01-2019,101.54,102.54,100.93,101.94,32280800,0,0
10-01-2019,100.91,101.43,100.09,101.28,30067600,0,0
11-01-2019,100.88,101.13,99.37,100.5,28314200,0,0
14-01-2019,99.62,100.57,99,99.77,28437100,0,0
15-01-2019,100.22,102.7,99.6,102.66,31587600,0,0
16-01-2019,102.91,103.89,102.61,103.03,29853900,0,0
17-01-2019,102.65,104.25,102.42,103.75,28393000,0,0
18-01-2019,105.06,105.49,103.54,105.3,37427600,0,0
22-01-2019,104.36,104.71,102.52,103.32,32371300,0,0
23-01-2019,103.75,104.65,102.99,104.33,25874300,0,0
24-01-2019,104.47,104.61,102.99,103.83,23164800,0,0
25-01-2019,104.84,105.47,103.83,104.78,31225600,0,0
28-01-2019,103.89,104.1,102.32,102.73,29476700,0,0
29-01-2019,102.54,102.62,99.89,100.64,31490500,0,0
30-01-2019,102.28,104,102,104,49471900,0,0
31-01-2019,101.48,102.87,100.87,102.1,55636400,0,0
01-02-2019,101.46,101.77,100.06,100.48,35535700,0,0
04-02-2019,100.57,103.44,100.47,103.38,31315100,0,0
05-02-2019,103.69,104.87,103.59,104.82,27325400,0,0
06-02-2019,104.61,104.61,103.17,103.66,20609800,0,0
07-02-2019,102.84,103.23,101.96,102.92,29760700,0,0
08-02-2019,102.06,103.42,101.93,103.31,21461100,0,0
11-02-2019,103.83,104.2,102.62,102.9,18914100,0,0
12-02-2019,103.77,104.75,103.12,104.5,25056600,0,0
13-02-2019,105.1,105.37,104.33,104.42,18394900,0,0
14-02-2019,103.93,104.89,103.3,104.51,21784700,0,0
15-02-2019,105.5,105.88,104.96,105.8,26606900,0,0
19-02-2019,105.38,106.23,105.37,105.75,18038500,0,0
20-02-2019,105.9,105.98,104.36,105.2,21607700,0.46,0
21-02-2019,104.96,107.49,104.93,107.42,29063200,0,0
22-02-2019,108.05,109.18,107.82,108.95,27763200,0,0
25-02-2019,109.73,110.14,109.24,109.56,23750600,0,0
26-02-2019,109.24,111.18,109.15,110.32,21536700,0,0
27-02-2019,109.66,110.32,108.87,110.13,21487100,0,0
28-02-2019,110,110.83,109.7,109.99,29083900,0,0
01-03-2019,110.84,110.97,109.64,110.49,23501200,0,0
04-03-2019,110.97,111.19,108.79,110.22,26608000,0,0
05-03-2019,110.21,110.35,109.21,109.67,19538300,0,0
06-03-2019,109.84,110.61,109.41,109.72,17687000,0,0
07-03-2019,109.38,109.52,107.87,108.38,25339000,0,0
08-03-2019,107.18,108.7,106.82,108.5,22818400,0,0
11-03-2019,108.97,110.9,108.96,110.78,26491600,0,0
12-03-2019,110.77,111.92,110.6,111.56,26132700,0,0
13-03-2019,112.06,112.91,111.71,112.42,35513800,0,0
14-03-2019,112.46,113.11,112.25,112.51,30763400,0,0
15-03-2019,113.24,115.12,112.51,113.8,54681100,0,0
18-03-2019,114.06,115.47,113.94,115.43,31207600,0,0
19-03-2019,115.94,116.29,114.86,115.51,37588700,0,0
20-03-2019,115.26,116.59,114.59,115.38,28113300,0,0
21-03-2019,115.01,118.62,114.96,118.04,29854400,0,0
22-03-2019,117.33,117.42,114.91,114.92,33624500,0,0
25-03-2019,114.44,115.87,114.21,115.52,27067100,0,0
26-03-2019,116.46,116.55,114.73,115.77,26097700,0,0
27-03-2019,115.74,116.06,113.42,114.65,22733400,0,0
28-03-2019,115.31,115.44,114.02,114.81,18334800,0,0
29-03-2019,115.92,116.17,114.83,115.8,25399800,0,0
01-04-2019,116.79,116.95,115.95,116.86,22789100,0,0
02-04-2019,116.9,117.31,116.37,117.02,18142300,0,0
03-04-2019,117.68,118.24,116.98,117.79,22860700,0,0
04-04-2019,117.92,118.05,116.23,117.19,20112800,0,0
05-04-2019,117.22,118.05,117.2,117.71,15826200,0,0
08-04-2019,117.63,117.84,116.48,117.75,15116200,0,0
09-04-2019,116.47,117.37,116.43,117.11,17612000,0,0
10-04-2019,117.58,118.16,117.37,118.01,16477200,0,0
11-04-2019,118.35,118.65,117.74,118.14,14209100,0,0
12-04-2019,118.45,118.78,118.18,118.75,19745100,0,0
15-04-2019,118.74,119.37,118.38,118.85,15792600,0,0
16-04-2019,119.43,119.44,117.92,118.58,14071800,0,0
17-04-2019,119.04,119.64,118.35,119.56,19300900,0,0
18-04-2019,119.97,121.28,119.1,121.13,27991000,0,0
22-04-2019,120.39,121.75,120.34,121.51,15648700,0,0
23-04-2019,121.84,123.3,121.58,123.16,24025500,0,0
24-04-2019,123.5,123.56,122.26,122.74,31257000,0,0
25-04-2019,127.7,128.98,126.49,126.8,38033900,0,0
26-04-2019,127.34,128.15,126.68,127.53,23654900,0,0
29-04-2019,127.54,127.81,127,127.41,16324200,0,0
30-04-2019,127.45,128.32,127.04,128.23,24166500,0,0
01-05-2019,128.16,128.28,125.38,125.56,26821700,0,0
02-05-2019,125.65,125.67,123.24,123.92,27350200,0,0
03-05-2019,125.05,127.08,124.94,126.56,24911100,0,0
06-05-2019,124.09,126.22,123.82,125.82,24239800,0,0
07-05-2019,124.16,124.87,121.96,123.24,36017700,0,0
08-05-2019,123.16,124.07,122.48,123.23,28419000,0,0
09-05-2019,122.03,123.5,121.32,123.22,27235800,0,0
10-05-2019,122.64,125.61,121.57,124.82,30915100,0,0
13-05-2019,121.85,123.27,120.8,121.11,33944900,0,0
14-05-2019,121.62,123.59,121.45,122.46,25266300,0,0
15-05-2019,122.45,124.87,121.9,124.19,24722700,0.46,0
16-05-2019,124.91,127.5,124.62,127.06,30112200,0,0
17-05-2019,126.44,128.56,126.06,126.21,25770500,0,0
20-05-2019,124.68,125.74,123.93,124.39,23706900,0,0
21-05-2019,125.58,125.68,124.74,125.06,15293300,0,0
22-05-2019,124.78,126.38,124.68,125.81,15396500,0,0
23-05-2019,124.37,124.45,122.93,124.35,23603800,0,0
24-05-2019,125.06,125.57,124.14,124.4,14123400,0,0
28-05-2019,125.13,126.14,124.22,124.33,23128400,0,0
29-05-2019,123.56,123.57,122.24,123.12,22763100,0,0
30-05-2019,123.44,123.93,122.97,123.9,16829600,0,0
31-05-2019,122.42,122.81,121.53,121.88,26646800,0,0
03-06-2019,122.05,122.56,117.28,118.1,37983600,0,0
